Field Season,Plot,Date Collected,Species,Sex,Weight (g),Scale Calibrated?
2013,2,2013-07-16,DM,F,NULL,TRUE
2013,7,2013-07-16,DM,M,33,TRUE
2013,3,2013-07-16,DM,M,NULL,TRUE
2013,1,2013-07-16,DM,M,NULL,TRUE
2013,3,2013-07-18,DM,M,40,TRUE
2013,7,2013-07-18,DM,M,48,TRUE
2013,4,2013-07-18,DM,F,29,TRUE
2013,6,2013-07-18,DM,F,37,TRUE
2013,8,2013-08-19,DO,F,52,TRUE
2013,3,2013-10-17,DO,F,33,TRUE
2013,3,2013-10-17,DO,F,50,TRUE
2013,9,2013-12-10,DO,F,40,TRUE
2013,1,2013-12-10,DO,M,45,TRUE
2013,8,2013-12-11,DO,F,41,TRUE
2013,9,2013-11-12,DS,F,117,TRUE
2013,11,2013-11-13,DS,F,126,TRUE
2013,17,2013-11-13,DS,M,132,FALSE
2013,14,2013-11-13,DS,F,113,FALSE
2013,11,2013-11-13,DS,F,122,TRUE
2013,4,2013-11-13,DS,F,107,TRUE
2013,4,2013-11-13,DS,F,115,TRUE
2014,1,2014-01-09,DM,M,40,TRUE
2014,1,2014-01-09,DM,F,36,TRUE
2014,1,2014-03-13,DM,F,51,TRUE
2014,1,2014-03-13,DM,F,44,TRUE
2014,1,2014-03-13,DS,F,146,TRUE
2014,2,2014-01-08,NA,NULL,NULL,TRUE
2014,2,2014-01-08,DM,M,44,TRUE
2014,2,2014-01-08,PF,F,7,TRUE
2014,2,2014-01-08,DM,M,45,TRUE
2014,2,2014-01-08,OT,NULL,NULL,TRUE
2014,2,2014-01-08,DS,M,157,FALSE
2014,2,2014-01-08,OX,NULL,NULL,TRUE
2014,2,2014-02-18,NA,M,218,FALSE
2014,2,2014-02-18,PF,F,7,TRUE
2014,2,2014-02-18,DM,M,52,TRUE
2014,3,2014-03-11,PF,M,8,TRUE
2014,3,2014-04-08,NA,F,NULL,TRUE
2014,3,2014-05-06,NULL,NULL,NULL,TRUE
2014,3,2014-05-18,NA,F,182,TRUE
2014,3,2014-06-09,OT,F,29,TRUE
2014,3,2014-07-08,NA,F,115,TRUE
2014,3,2014-07-08,NA,M,190,TRUE
2014,4,NULL,DM,F,37,TRUE
2014,4,NULL,DM,M,NULL,TRUE
2014,4,NULL,DM,F,48,TRUE
2014,4,NULL,DO,M,52,TRUE
2014,4,NULL,OL,M,35,TRUE
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,